ID,farmer_name,training_day,gender,registration,age,group_name,belong_to_cooperative,county,subcounty,ward,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days,has_topic_trained_on,trainer,topics_list
ID_70GP6F,FAR_leopgvh,2024-01-03,Female,Manual,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_IWQOWJ,FAR_vdcjfxm,2024-01-03,Female,Ussd,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_Z3ES85,FAR_hfkybdg,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Biosecurity In Poultry Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Rear Healthy Chicken With Biodeal.', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Vaccinations And Record', 'Pest And Disease Management In Maize And Beans', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Unga Dairy Feeds', 'Hygiene And Health Products']"
ID_JNZM6R,FAR_hfkybdg,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_BNJ1GU,FAR_hfkybdg,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_KTBT30,FAR_hfkybdg,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_74FW91,FAR_otwqajd,2024-01-03,Female,Ussd,Above 35,GRP_zmblxsw,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Health Management', 'Dairy Nutrition With Tyari', 'Diseases In Dairy Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Rear Healthy Chicken With Biodeal.', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Vaccinations And Record', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Pest And Disease Management In Maize And Beans', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Feeding With Tyari', 'Poultry Health Management', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Unga Dairy Feeds', 'Hygiene And Health Products', 'Weed Management In Maize And Beans']"
ID_6AKK7I,FAR_ycofbqm,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_UHOZAU,FAR_ycofbqm,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_8LNODH,FAR_ycofbqm,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
