ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,1e-07,0.0021002181920534236,0.002279370309459512,1e-07,0.0021002181920534236,0.002279370309459512
ID_1UKOKW,1e-07,0.000305629735435792,0.000268902088773992,1e-07,0.000305629735435792,0.000268902088773992
ID_U5H2YK,0.06845602745394742,0.07262330956471277,0.07642020370332536,0.06845602745394742,0.07262330956471277,0.07642020370332536
ID_55957A,0.017186595170133098,0.02533069145182126,0.03768976426001658,0.017186595170133098,0.02533069145182126,0.03768976426001658
ID_N1AC0A,1e-07,0.00019030639007070399,8.5309045558336e-05,1e-07,0.00019030639007070399,8.5309045558336e-05
ID_4R3SGT,0.000184139695337008,0.000617323082674828,8.5309045558336e-05,0.000184139695337008,0.000617323082674828,8.5309045558336e-05
ID_NVW38U,0.01736974524566639,0.03884170828195995,0.051297411089453404,0.01736974524566639,0.03884170828195995,0.051297411089453404
ID_15LAWX,1e-07,0.0012650847868998759,0.0020270451003983002,1e-07,0.0012650847868998759,0.0020270451003983002
ID_DPNOLZ,0.000173467264926268,0.002607296229075104,0.00538969408861176,0.000173467264926268,0.002607296229075104,0.00538969408861176
ID_GXO4MZ,0.00040758578892641196,0.001479776036880716,0.000268902088773992,0.00040758578892641196,0.001479776036880716,0.000268902088773992
ID_TWJ95S,0.00040758578892641196,0.004256739037941616,0.005645820233050428,0.00040758578892641196,0.004256739037941616,0.005645820233050428
ID_F6RQR5,1e-07,0.000617323082674828,0.000394018721463988,1e-07,0.000617323082674828,0.000394018721463988
ID_OD0S5Q,0.03519667120343631,0.03769087164502793,0.04447868306610902,0.03519667120343631,0.03769087164502793,0.04447868306610902
ID_L4DEEY,0.013892924310324791,0.01583977921408817,0.02338729159471238,0.013892924310324791,0.01583977921408817,0.02338729159471238
ID_H0WWMP,0.000184139695337008,0.000617323082674828,8.5309045558336e-05,0.000184139695337008,0.000617323082674828,8.5309045558336e-05
ID_NK0GGQ,1e-07,0.00048492174849707197,8.5309045558336e-05,1e-07,0.00048492174849707197,8.5309045558336e-05
ID_C3E07L,1e-07,0.001568516165584748,0.002043730777224188,1e-07,0.001568516165584748,0.002043730777224188
ID_8ZHOIS,1e-07,0.001616328797869084,0.002279370309459512,1e-07,0.001616328797869084,0.002279370309459512
ID_WEM7E6,0.11179901838716386,0.24278927517073434,0.23215876555862247,0.11179901838716386,0.24278927517073434,0.23215876555862247
ID_EI276D,0.01204707469033548,0.017422355019220553,0.01825815504367363,0.01204707469033548,0.017422355019220553,0.01825815504367363
ID_WY9YFZ,1e-07,0.000305629735435792,8.5309045558336e-05,1e-07,0.000305629735435792,8.5309045558336e-05
ID_VGITCI,0.00040758578892641196,0.002984828978263476,0.00538969408861176,0.00040758578892641196,0.002984828978263476,0.00538969408861176
ID_NHFYZX,1e-07,0.000617323082674828,0.000394018721463988,1e-07,0.000617323082674828,0.000394018721463988
ID_PZPP2T,1e-07,0.000542589324253724,0.000268902088773992,1e-07,0.000542589324253724,0.000268902088773992
ID_YSGK3Y,1e-07,0.00019030639007070399,8.5309045558336e-05,1e-07,0.00019030639007070399,8.5309045558336e-05
ID_RT29AK,0.000173467264926268,0.000542589324253724,0.000268902088773992,0.000173467264926268,0.000542589324253724,0.000268902088773992
ID_AUK2TM,0.08282041495132725,0.11109553823960361,0.15362559898939654,0.08282041495132725,0.11109553823960361,0.15362559898939654
ID_QZA91L,0.028485524893843196,0.05469655582624925,0.058168987077213914,0.028485524893843196,0.05469655582624925,0.058168987077213914
ID_CWTE3D,0.05381372271531752,0.06947244520958941,0.06967686596024636,0.05381372271531752,0.06947244520958941,0.06967686596024636
ID_E04V5D,0.000184139695337008,0.0006344010714875799,0.000394018721463988,0.000184139695337008,0.0006344010714875799,0.000394018721463988
ID_XTGV9Y,1e-07,0.0012650847868998759,0.0020270451003983002,1e-07,0.0012650847868998759,0.0020270451003983002
ID_ADLLTR,1e-07,0.0021002181920534236,0.002279370309459512,1e-07,0.0021002181920534236,0.002279370309459512
ID_938PPA,1e-07,0.001616328797869084,0.002279370309459512,1e-07,0.001616328797869084,0.002279370309459512
ID_68PA5Q,1e-07,0.0012650847868998759,0.0020270451003983002,1e-07,0.0012650847868998759,0.0020270451003983002
ID_EJJIM0,0.000184139695337008,0.000617323082674828,8.5309045558336e-05,0.000184139695337008,0.000617323082674828,8.5309045558336e-05
ID_9EEUE8,0.000173467264926268,0.000542589324253724,0.000268902088773992,0.000173467264926268,0.000542589324253724,0.000268902088773992
ID_EZ948R,0.034246954332366505,0.07746290298756286,0.11212104498514089,0.034246954332366505,0.07746290298756286,0.11212104498514089
ID_E0HFQZ,0.000184139695337008,0.000617323082674828,0.000394018721463988,0.000184139695337008,0.000617323082674828,0.000394018721463988
ID_KGXIB9,0.01588559827538414,0.015884247051786694,0.01774321525069895,0.01588559827538414,0.015884247051786694,0.01774321525069895
ID_ZXY6XK,1e-07,0.00019030639007070399,8.5309045558336e-05,1e-07,0.00019030639007070399,8.5309045558336e-05
ID_TEKWLH,0.000173467264926268,0.00082461426136868,0.000462029854672472,0.000173467264926268,0.00082461426136868,0.000462029854672472
ID_BWUBOA,1e-07,0.00019030639007070399,8.5309045558336e-05,1e-07,0.00019030639007070399,8.5309045558336e-05
